dataset,version,representation,head_type,seed,phase,learning_rate,weight_decay,dropout,status,run_dir,checkpoint_dir,error,loss,accuracy,positive_precision,positive_recall,positive_f1,precision,recall,f1,macro_f1,balanced_accuracy,auroc,auprc,num_samples
solubility,v0,esm2,linear,42,end_to_end,0.001,0.0,,complete,Code/results/classifier/solubility/v0/end_to_end/linear/esm2/seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/end_to_end/linear/esm2/seed_42,,0.5173077119655046,0.7283641820910455,0.7831474597273854,0.632,0.6995019369120089,0.7831474597273854,0.632,0.6995019369120089,0.7258349483738502,0.7284124124124124,0.8324294294294293,0.823708941470965,1999.0
solubility,v0,esm2,linear,43,end_to_end,0.001,0.0,,complete,Code/results/classifier/solubility/v0/end_to_end/linear/esm2/seed_43,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/end_to_end/linear/esm2/seed_43,,0.5472440275625923,0.7123561780890445,0.8031383737517832,0.563,0.6619635508524397,0.8031383737517832,0.563,0.6619635508524397,0.7058185190048006,0.7124309309309309,0.8321241241241242,0.820936555170683,1999.0
solubility,v0,esm2,linear,44,end_to_end,0.001,0.0,,complete,Code/results/classifier/solubility/v0/end_to_end/linear/esm2/seed_44,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/end_to_end/linear/esm2/seed_44,,0.49713301598995907,0.7493746873436719,0.7738748627881449,0.705,0.7378335949764521,0.7738748627881449,0.705,0.7378335949764521,0.7488880480871719,0.7493968968968969,0.8402832832832833,0.8309624292153828,1999.0
solubility,v0,esm2,mlp,42,end_to_end,0.001,0.0,0.1,complete,Code/results/classifier/solubility/v0/end_to_end/mlp/esm2/seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/end_to_end/mlp/esm2/seed_42,,0.527008820841347,0.7308654327163582,0.78875,0.631,0.7011111111111111,0.78875,0.631,0.7011111111111111,0.7281715701142453,0.7309154154154154,0.8306066066066067,0.8199810398519282,1999.0
solubility,v0,esm2,mlp,43,end_to_end,0.001,0.0,0.1,complete,Code/results/classifier/solubility/v0/end_to_end/mlp/esm2/seed_43,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/end_to_end/mlp/esm2/seed_43,,0.5423417565016343,0.711855927963982,0.8011363636363636,0.564,0.6619718309859155,0.8011363636363636,0.564,0.6619718309859155,0.7054410157545097,0.71192992992993,0.8334784784784786,0.8231881776380875,1999.0
solubility,v0,esm2,mlp,44,end_to_end,0.001,0.0,0.1,complete,Code/results/classifier/solubility/v0/end_to_end/mlp/esm2/seed_44,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/end_to_end/mlp/esm2/seed_44,,0.48860228684856155,0.7488744372186094,0.7785234899328859,0.696,0.7349524815205913,0.7785234899328859,0.696,0.7349524815205913,0.7481796628135275,0.7489009009009009,0.8410430430430431,0.8341440159785817,1999.0
solubility,v0,random_autoencoder,linear,42,end_to_end,0.001,0.0,,complete,Code/results/classifier/solubility/v0/end_to_end/linear/random_autoencoder/seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/end_to_end/linear/random_autoencoder/seed_42,,0.5368196074219571,0.7028514257128564,0.8201892744479495,0.52,0.6364749082007344,0.8201892744479495,0.52,0.6364749082007344,0.6926029363338697,0.702942942942943,0.8203513513513514,0.8188795965153366,1999.0
solubility,v0,random_autoencoder,linear,43,end_to_end,0.001,0.0,,complete,Code/results/classifier/solubility/v0/end_to_end/linear/random_autoencoder/seed_43,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/end_to_end/linear/random_autoencoder/seed_43,,0.5162125799493709,0.7173586793396698,0.7502876869965478,0.652,0.6976993044408775,0.7502876869965478,0.652,0.6976993044408775,0.7161582478052203,0.7173913913913914,0.8110480480480482,0.8061103622652055,1999.0
solubility,v0,random_autoencoder,linear,44,end_to_end,0.001,0.0,,complete,Code/results/classifier/solubility/v0/end_to_end/linear/random_autoencoder/seed_44,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/end_to_end/linear/random_autoencoder/seed_44,,0.5309317275665593,0.7098549274637319,0.7908587257617729,0.571,0.6631823461091754,0.7908587257617729,0.571,0.6631823461091754,0.7041746528436914,0.7099244244244244,0.8186166166166164,0.8158757215907617,1999.0
solubility,v0,random_autoencoder,mlp,42,end_to_end,0.001,0.0,0.1,complete,Code/results/classifier/solubility/v0/end_to_end/mlp/random_autoencoder/seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/end_to_end/mlp/random_autoencoder/seed_42,,0.5233956165854009,0.7003501750875438,0.8187599364069952,0.515,0.6322897483118478,0.8187599364069952,0.515,0.6322897483118478,0.6897202224041299,0.700442942942943,0.8235035035035034,0.821331543862823,1999.0
