dataset,version,representation,head_type,seed,phase,learning_rate,weight_decay,dropout,status,run_dir,checkpoint_dir,error,loss,accuracy,positive_precision,positive_recall,positive_f1,precision,recall,f1,macro_f1,balanced_accuracy,auroc,auprc,num_samples
solubility,v0,esm2,linear,42,final,0.001,0.0,,complete,Code/results/classifier/solubility/v0/final/linear/esm2/seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/final/linear/esm2/seed_42,,0.6646115316815111,0.6113056528264132,0.6807131280388979,0.42,0.5194805194805194,0.6807131280388979,0.42,0.5194805194805194,0.596573523074993,0.6114014014014014,0.6808278278278278,0.6565434096506773,1999.0
solubility,v0,esm2,linear,43,final,0.001,0.0,,complete,Code/results/classifier/solubility/v0/final/linear/esm2/seed_43,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/final/linear/esm2/seed_43,,0.6670256395707315,0.6133066533266633,0.6827697262479872,0.424,0.5231338679827268,0.6827697262479872,0.424,0.5231338679827268,0.5989670181310353,0.6134014014014014,0.6783623623623622,0.6542316901601297,1999.0
solubility,v0,esm2,linear,44,final,0.001,0.0,,complete,Code/results/classifier/solubility/v0/final/linear/esm2/seed_44,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/final/linear/esm2/seed_44,,0.6635006352208029,0.6153076538269134,0.6807511737089202,0.435,0.5308114704087858,0.6807511737089202,0.435,0.5308114704087858,0.6024129416478011,0.6153978978978979,0.6823513513513513,0.6567253566562071,1999.0
solubility,v0,esm2,mlp,42,final,0.001,0.0,0.1,complete,Code/results/classifier/solubility/v0/final/mlp/esm2/seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/final/mlp/esm2/seed_42,,0.67729693245685,0.631815907953977,0.705607476635514,0.453,0.5517661388550548,0.705607476635514,0.453,0.5517661388550548,0.6196861254546921,0.6319054054054054,0.7052352352352352,0.6872151133757236,1999.0
solubility,v0,esm2,mlp,43,final,0.001,0.0,0.1,complete,Code/results/classifier/solubility/v0/final/mlp/esm2/seed_43,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/final/mlp/esm2/seed_43,,0.6814797699540899,0.632816408204102,0.6921965317919075,0.479,0.566193853427896,0.6921965317919075,0.479,0.566193853427896,0.6239468833488135,0.6328933933933933,0.70204004004004,0.6786018668898006,1999.0
solubility,v0,esm2,mlp,44,final,0.001,0.0,0.1,complete,Code/results/classifier/solubility/v0/final/mlp/esm2/seed_44,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/final/mlp/esm2/seed_44,,0.6554512649908729,0.6488244122061031,0.7008086253369272,0.52,0.5970149253731343,0.7008086253369272,0.52,0.5970149253731343,0.6429223563035884,0.6488888888888888,0.7120980980980981,0.6945447489058441,1999.0
solubility,v0,random_autoencoder,linear,42,single,0.001,0.0,,complete,Code/results/classifier/solubility/v0/random_autoencoder/linear/seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/random_autoencoder/linear/seed_42,,0.6740690187670816,0.5567783891945973,0.6255506607929515,0.284,0.390646492434663,0.6255506607929515,0.284,0.390646492434663,0.5211880260915454,0.5569149149149148,0.6463023023023023,0.6185159206862174,1999.0
solubility,v0,random_autoencoder,linear,43,final,0.001,0.0,,complete,Code/results/classifier/solubility/v0/final/linear/random_autoencoder/seed_43,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/final/linear/random_autoencoder/seed_43,,0.6708081262954895,0.5637818909454727,0.672972972972973,0.249,0.3635036496350365,0.672972972972973,0.249,0.3635036496350365,0.5158461931584619,0.5639394394394395,0.6726196196196196,0.6450605370619157,1999.0
solubility,v0,random_autoencoder,linear,44,final,0.001,0.0,,complete,Code/results/classifier/solubility/v0/final/linear/random_autoencoder/seed_44,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/final/linear/random_autoencoder/seed_44,,0.6766444981068358,0.5777888944472236,0.6718061674008811,0.305,0.4195323246217332,0.6718061674008811,0.305,0.4195323246217332,0.5438856591662125,0.5779254254254255,0.644928928928929,0.620914516838071,1999.0
solubility,v0,random_autoencoder,mlp,42,final,0.001,0.0,0.1,complete,Code/results/classifier/solubility/v0/final/mlp/random_autoencoder/seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v0/final/mlp/random_autoencoder/seed_42,,0.6429778939786704,0.6223111555777889,0.6653171390013495,0.493,0.5663411832280298,0.6653171390013495,0.493,0.5663411832280298,0.6159131702582329,0.622375875875876,0.6906206206206207,0.6575904838720958,1999.0
