dataset,version,representation,head_type,seed,phase,learning_rate,weight_decay,dropout,status,run_dir,checkpoint_dir,error,selection_epoch,best_val_f1,val_loss_at_selection,val_accuracy_at_selection
solubility,v1,esm2,linear,42,tuning,0.0001,0.0,,complete,Code/results/classifier/solubility/v1/tuning/linear/esm2/lr_1e-4_wd_0_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/esm2/lr_1e-4_wd_0_seed_42,,24.0,0.5353455123113582,0.6061419715664291,0.6629213483146067
solubility,v1,esm2,linear,42,tuning,0.0001,0.0001,,complete,Code/results/classifier/solubility/v1/tuning/linear/esm2/lr_1e-4_wd_1e-4_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/esm2/lr_1e-4_wd_1e-4_seed_42,,29.0,0.5342685370741483,0.605311924529948,0.6652261596081821
solubility,v1,esm2,linear,42,tuning,0.0003,0.0,,complete,Code/results/classifier/solubility/v1/tuning/linear/esm2/lr_3e-4_wd_0_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/esm2/lr_3e-4_wd_0_seed_42,,20.0,0.5726937269372694,0.6031516566808202,0.6663785652549697
solubility,v1,esm2,linear,42,tuning,0.0003,0.0001,,complete,Code/results/classifier/solubility/v1/tuning/linear/esm2/lr_3e-4_wd_1e-4_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/esm2/lr_3e-4_wd_1e-4_seed_42,,20.0,0.5726970033296337,0.6036199199057766,0.6672428694900605
solubility,v1,esm2,linear,42,tuning,0.001,0.0,,complete,Code/results/classifier/solubility/v1/tuning/linear/esm2/lr_1e-3_wd_0_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/esm2/lr_1e-3_wd_0_seed_42,,20.0,0.5990073592332705,0.6043723931026815,0.6624891961970614
solubility,v1,esm2,linear,42,tuning,0.001,0.0001,,complete,Code/results/classifier/solubility/v1/tuning/linear/esm2/lr_1e-3_wd_1e-4_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/esm2/lr_1e-3_wd_1e-4_seed_42,,20.0,0.5934103846817319,0.6048823605522028,0.660472486315183
solubility,v1,esm2,mlp,42,tuning,0.0001,0.0,0.1,complete,Code/results/classifier/solubility/v1/tuning/mlp/esm2/lr_1e-4_wd_0_do_0.1_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/esm2/lr_1e-4_wd_0_do_0.1_seed_42,,20.0,0.6397803329328986,0.5654984237446423,0.6976375684240853
solubility,v1,esm2,mlp,42,tuning,0.0001,0.0,0.3,complete,Code/results/classifier/solubility/v1/tuning/mlp/esm2/lr_1e-4_wd_0_do_0.3_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/esm2/lr_1e-4_wd_0_do_0.3_seed_42,,20.0,0.6330483336241494,0.5666961281658833,0.6970613656006914
solubility,v1,esm2,mlp,42,tuning,0.0001,0.0001,0.1,complete,Code/results/classifier/solubility/v1/tuning/mlp/esm2/lr_1e-4_wd_1e-4_do_0.1_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/esm2/lr_1e-4_wd_1e-4_do_0.1_seed_42,,20.0,0.6378896882494005,0.5687197249858189,0.6954768078363583
solubility,v1,esm2,mlp,42,tuning,0.0001,0.0001,0.3,complete,Code/results/classifier/solubility/v1/tuning/mlp/esm2/lr_1e-4_wd_1e-4_do_0.3_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/esm2/lr_1e-4_wd_1e-4_do_0.3_seed_42,,20.0,0.629874651810585,0.5704278443979963,0.6937481993661769
