epoch,train_loss,train_accuracy,train_positive_precision,train_positive_recall,train_positive_f1,train_precision,train_recall,train_f1,train_macro_f1,train_balanced_accuracy,train_auroc,train_auprc,train_num_samples,val_loss,val_accuracy,val_positive_precision,val_positive_recall,val_positive_f1,val_precision,val_recall,val_f1,val_macro_f1,val_balanced_accuracy,val_auroc,val_auprc,val_num_samples
1,0.5878173484160465,0.6482441819520471,0.5997371495327103,0.4725215723873442,0.528582766683112,0.5997371495327103,0.4725215723873442,0.528582766683112,0.624019225868076,0.623316798060826,0.7104845103928593,0.6084610538526388,62478,0.5526811991738023,0.6910112359550562,0.6374269005847953,0.6020020711080428,0.6192082371737972,0.6374269005847953,0.6020020711080428,0.6192082371737972,0.6796198742528785,0.6783805163945653,0.7657881026918005,0.6856694138439716,6942
2,0.5409345954648015,0.6972214219405231,0.6616677206613063,0.5617641418983701,0.6076369443925912,0.6616677206613063,0.5617641418983701,0.6076369443925912,0.6805694462265003,0.6780059343670353,0.7742908380297695,0.7010240735010412,62478,0.529327159723333,0.7140593488908096,0.7360248447204969,0.4908526061442872,0.5889418098985297,0.7360248447204969,0.4908526061442872,0.5889418098985297,0.684862953541203,0.68238551197202,0.791191347939751,0.7365660484472963,6942
3,0.5277324163840077,0.711242357309773,0.6801506861601937,0.5816299137104506,0.6270440121555413,0.6801506861601937,0.5816299137104506,0.6270440121555413,0.6957347687013293,0.6928559974288044,0.7884534539299847,0.7282455651235858,62478,0.519181682770893,0.7222702391241717,0.6767603064574973,0.6403175698998964,0.6580347641007449,0.6767603064574973,0.6403175698998964,0.6580347641007449,0.712112215909213,0.7106408615877726,0.8011293384358655,0.7529890534085543,6942
4,0.521169663514503,0.7169723742757451,0.6889919827042609,0.586653883029722,0.6337179195061831,0.6889919827042609,0.586653883029722,0.6337179195061831,0.7015535958333743,0.6984858569888603,0.7951611744620102,0.73897923374699,62478,0.5126606099666007,0.7276001152405647,0.7087136929460581,0.5895754228512254,0.6436781609195402,0.7087136929460581,0.5895754228512254,0.6436781609195402,0.7116024009681063,0.7080139166172073,0.804956408167863,0.7600773049419939,6942
5,0.5166438990691898,0.7196933320528827,0.6919730941704035,0.5917929050814957,0.6379741602067184,0.6919730941704035,0.5917929050814957,0.6379741602067184,0.704644096856862,0.7015498327566642,0.7989281545679822,0.746662621710784,62478,0.5195118478638608,0.7258715067703831,0.7947805456702254,0.4625474628926476,0.5847698014401047,0.7947805456702254,0.4625474628926476,0.5847698014401047,0.6900840728520812,0.6885048810136909,0.8102940981954394,0.7673004796652512,6942
6,0.511784145091292,0.7235987067447741,0.6974085365853658,0.5965484180249281,0.643047603298952,0.6974085365853658,0.5965484180249281,0.643047603298952,0.7087680133579525,0.7055758050347699,0.8038612555216744,0.7527194360102153,62478,0.5112325731837691,0.7353788533563814,0.742451967063129,0.5602347255781843,0.638599252409994,0.742451967063129,0.5602347255781843,0.638599252409994,0.7149364856527871,0.7105252737903283,0.810958269349009,0.7674118752720602,6942
7,0.5065457376657518,0.7285284420115881,0.7017621535464447,0.6078619367209971,0.6514457162820328,0.7017621535464447,0.6078619367209971,0.6514457162820328,0.7145687851349216,0.7114111210951632,0.8086954856506854,0.7598075040291209,62478,0.5059836618806196,0.7280322673581101,0.7083849648905411,0.5919917155678288,0.6449793155321549,0.7083849648905411,0.5919917155678288,0.6449793155321549,0.7122865291179337,0.7087276253982531,0.8093319759198487,0.7672754243906259,6942
8,0.503148346529746,0.7310093152789782,0.7053116555176538,0.6105848513902206,0.6545387271830291,0.7053116555176538,0.6105848513902206,0.6545387271830291,0.7171498479444003,0.7139263294942477,0.8119510969260723,0.7646599768906636,62478,0.5168190183092765,0.7104580812445981,0.6268229911352587,0.7566448049706593,0.6856427901157335,0.6268229911352587,0.7566448049706593,0.6856427901157335,0.7086424898509242,0.7170121429056016,0.8134785868165055,0.7720074403378215,6942
9,0.49957572102275755,0.7321617209257659,0.7052876796624324,0.6153787152444871,0.6572727645107115,0.7052876796624324,0.6153787152444871,0.6572727645107115,0.7187322708669412,0.7155952994402255,0.8151463442070362,0.7685184267428375,62478,0.5233080691749993,0.7227023912417171,0.7977941176470589,0.44943044528822923,0.5749613601236476,0.7977941176470589,0.44943044528822923,0.5749613601236476,0.684594522926602,0.6839241225205053,0.8134253370670738,0.7706998632761504,6942
10,0.49560470795554323,0.736915394218765,0.7097223431108016,0.6254266538830298,0.6649134609504006,0.7097223431108016,0.6254266538830298,0.6649134609504006,0.7241803777618688,0.7210999983696939,0.8194972578329692,0.7734931019427687,62478,0.5049238349374108,0.7297608758282915,0.7119136571191366,0.5919917155678288,0.6464379947229552,0.7119136571191366,0.5919917155678288,0.6464379947229552,0.7138694986438278,0.7102109381300208,0.8086036746593914,0.7658618298611382,6942
