dataset,version,representation,encoder_mode,freeze_autoencoder,freeze_esm2,autoencoder_version,head_type,seed,phase,learning_rate,head_learning_rate,representation_learning_rate,encoder_learning_rate,esm_learning_rate,weight_decay,dropout,autoencoder_embedding_dropout,esm_embedding_dropout,status,run_dir,artifacts_copied,checkpoint_dir,error,sources,source_run_dir,selection_epoch,best_val_f1,val_loss_at_selection,val_accuracy_at_selection
solubility,v27,random_autoencoder,from_scratch,False,True,,linear,42,end_to_end_tuning,0.0001,0.0001,1e-06,1e-06,1e-06,0.0,,0.0,0.0,complete,Code/results/classifier/solubility/v27/unfrozen/tuning_corrected/linear/random_autoencoder/lr_1e-4_wd_0_rep_lr_1e-6_ae_do_0_esm_do_0_seed_42,True,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/tuning/linear/random_autoencoder/lr_1e-4_wd_0_ae_do_0_esm_do_0_seed_42,,source_3,/Users/josh/GWU/research/collected/classifier-v27-unfrozen-refresh/ec2-3/linear/random_autoencoder/lr_1e-4_wd_0_ae_do_0_esm_do_0_seed_42,3.0,0.6396195571407342,0.572983089182982,0.6506770383174878
solubility,v27,random_autoencoder,from_scratch,False,True,,linear,42,end_to_end_tuning,0.0001,0.0001,1e-06,1e-06,1e-06,0.0,,0.2,0.0,complete,Code/results/classifier/solubility/v27/unfrozen/tuning_corrected/linear/random_autoencoder/lr_1e-4_wd_0_rep_lr_1e-6_ae_do_0.2_esm_do_0_seed_42,True,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/tuning/linear/random_autoencoder/lr_1e-4_wd_0_ae_do_0.2_esm_do_0_seed_42,,source_3,/Users/josh/GWU/research/collected/classifier-v27-unfrozen-refresh/ec2-3/linear/random_autoencoder/lr_1e-4_wd_0_ae_do_0.2_esm_do_0_seed_42,3.0,0.6378539493293591,0.5783425333073351,0.6499567847882455
solubility,v27,random_autoencoder,from_scratch,False,True,,linear,42,end_to_end_tuning,0.0001,0.0001,1e-06,1e-06,1e-06,0.0001,,0.0,0.0,complete,Code/results/classifier/solubility/v27/unfrozen/tuning_corrected/linear/random_autoencoder/lr_1e-4_wd_1e-4_rep_lr_1e-6_ae_do_0_esm_do_0_seed_42,True,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/tuning/linear/random_autoencoder/lr_1e-4_wd_1e-4_ae_do_0_esm_do_0_seed_42,,source_3,/Users/josh/GWU/research/collected/classifier-v27-unfrozen-refresh/ec2-3/linear/random_autoencoder/lr_1e-4_wd_1e-4_ae_do_0_esm_do_0_seed_42,3.0,0.6388228299643282,0.5746804419287822,0.6499567847882455
solubility,v27,random_autoencoder,from_scratch,False,True,,linear,42,end_to_end_tuning,0.0001,0.0001,1e-06,1e-06,1e-06,0.0001,,0.2,0.0,complete,Code/results/classifier/solubility/v27/unfrozen/tuning_corrected/linear/random_autoencoder/lr_1e-4_wd_1e-4_rep_lr_1e-6_ae_do_0.2_esm_do_0_seed_42,True,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/tuning/linear/random_autoencoder/lr_1e-4_wd_1e-4_ae_do_0.2_esm_do_0_seed_42,,source_3,/Users/josh/GWU/research/collected/classifier-v27-unfrozen-refresh/ec2-3/linear/random_autoencoder/lr_1e-4_wd_1e-4_ae_do_0.2_esm_do_0_seed_42,3.0,0.6365539934190847,0.581038898433948,0.6499567847882455
solubility,v27,random_autoencoder,from_scratch,False,True,,linear,42,end_to_end_tuning,0.0001,0.0001,1e-05,1e-05,1e-05,0.0,,0.0,0.0,complete,Code/results/classifier/solubility/v27/unfrozen/tuning_corrected/linear/random_autoencoder/lr_1e-4_wd_0_rep_lr_1e-5_ae_do_0_esm_do_0_seed_42,True,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/tuning/linear/random_autoencoder/lr_1e-4_wd_0_ae_do_0_esm_do_0_seed_42,,source_2,/Users/josh/GWU/research/collected/classifier-v27-unfrozen-refresh/ec2-2/linear/random_autoencoder/lr_1e-4_wd_0_ae_do_0_esm_do_0_seed_42,8.0,0.6856427901157335,0.5168190183092765,0.7104580812445981
solubility,v27,random_autoencoder,from_scratch,False,True,,linear,42,end_to_end_tuning,0.0001,0.0001,1e-05,1e-05,1e-05,0.0,,0.2,0.0,complete,Code/results/classifier/solubility/v27/unfrozen/tuning_corrected/linear/random_autoencoder/lr_1e-4_wd_0_rep_lr_1e-5_ae_do_0.2_esm_do_0_seed_42,True,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/tuning/linear/random_autoencoder/lr_1e-4_wd_0_ae_do_0.2_esm_do_0_seed_42,,source_2,/Users/josh/GWU/research/collected/classifier-v27-unfrozen-refresh/ec2-2/linear/random_autoencoder/lr_1e-4_wd_0_ae_do_0.2_esm_do_0_seed_42,8.0,0.6843011425888246,0.5167721455497654,0.7094497263036589
solubility,v27,random_autoencoder,from_scratch,False,True,,linear,42,end_to_end_tuning,0.0001,0.0001,1e-05,1e-05,1e-05,0.0001,,0.0,0.0,complete,Code/results/classifier/solubility/v27/unfrozen/tuning_corrected/linear/random_autoencoder/lr_1e-4_wd_1e-4_rep_lr_1e-5_ae_do_0_esm_do_0_seed_42,True,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/tuning/linear/random_autoencoder/lr_1e-4_wd_1e-4_ae_do_0_esm_do_0_seed_42,,source_2,/Users/josh/GWU/research/collected/classifier-v27-unfrozen-refresh/ec2-2/linear/random_autoencoder/lr_1e-4_wd_1e-4_ae_do_0_esm_do_0_seed_42,8.0,0.68894440974391,0.5168732991825775,0.7130509939498704
solubility,v27,random_autoencoder,from_scratch,False,True,,linear,42,end_to_end_tuning,0.0001,0.0001,1e-05,1e-05,1e-05,0.0001,,0.2,0.0,complete,Code/results/classifier/solubility/v27/unfrozen/tuning_corrected/linear/random_autoencoder/lr_1e-4_wd_1e-4_rep_lr_1e-5_ae_do_0.2_esm_do_0_seed_42,True,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/tuning/linear/random_autoencoder/lr_1e-4_wd_1e-4_ae_do_0.2_esm_do_0_seed_42,,source_2,/Users/josh/GWU/research/collected/classifier-v27-unfrozen-refresh/ec2-2/linear/random_autoencoder/lr_1e-4_wd_1e-4_ae_do_0.2_esm_do_0_seed_42,8.0,0.6890130353817505,0.5175010939044178,0.7113223854796888
solubility,v27,random_autoencoder,from_scratch,False,True,,linear,42,end_to_end_tuning,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,,0.0,0.0,complete,Code/results/classifier/solubility/v27/unfrozen/tuning_corrected/linear/random_autoencoder/lr_1e-4_wd_0_rep_lr_1e-4_ae_do_0_esm_do_0_seed_42,True,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/tuning/linear/random_autoencoder/lr_1e-4_wd_0_ae_do_0_esm_do_0_seed_42,,source_1,/Users/josh/GWU/research/collected/classifier-v27-unfrozen-refresh/ec2-1/linear/random_autoencoder/lr_1e-4_wd_0_ae_do_0_esm_do_0_seed_42,3.0,0.6921625793174413,0.5009876551287417,0.7414289830020168
solubility,v27,random_autoencoder,from_scratch,False,True,,linear,42,end_to_end_tuning,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,,0.2,0.0,complete,Code/results/classifier/solubility/v27/unfrozen/tuning_corrected/linear/random_autoencoder/lr_1e-4_wd_0_rep_lr_1e-4_ae_do_0.2_esm_do_0_seed_42,True,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/tuning/linear/random_autoencoder/lr_1e-4_wd_0_ae_do_0.2_esm_do_0_seed_42,,source_1,/Users/josh/GWU/research/collected/classifier-v27-unfrozen-refresh/ec2-1/linear/random_autoencoder/lr_1e-4_wd_0_ae_do_0.2_esm_do_0_seed_42,3.0,0.6880607315389924,0.5044996572378835,0.7395563238259868
solubility,v27,random_autoencoder,from_scratch,False,True,,linear,42,end_to_end_tuning,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0,0.0,complete,Code/results/classifier/solubility/v27/unfrozen/tuning_corrected/linear/random_autoencoder/lr_1e-4_wd_1e-4_rep_lr_1e-4_ae_do_0_esm_do_0_seed_42,True,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/tuning/linear/random_autoencoder/lr_1e-4_wd_1e-4_ae_do_0_esm_do_0_seed_42,,source_1,/Users/josh/GWU/research/collected/classifier-v27-unfrozen-refresh/ec2-1/linear/random_autoencoder/lr_1e-4_wd_1e-4_ae_do_0_esm_do_0_seed_42,3.0,0.6522198731501057,0.5240365577101261,0.7156439066551427
solubility,v27,random_autoencoder,from_scratch,False,True,,linear,42,end_to_end_tuning,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.2,0.0,complete,Code/results/classifier/solubility/v27/unfrozen/tuning_corrected/linear/random_autoencoder/lr_1e-4_wd_1e-4_rep_lr_1e-4_ae_do_0.2_esm_do_0_seed_42,True,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/tuning/linear/random_autoencoder/lr_1e-4_wd_1e-4_ae_do_0.2_esm_do_0_seed_42,,source_1,/Users/josh/GWU/research/collected/classifier-v27-unfrozen-refresh/ec2-1/linear/random_autoencoder/lr_1e-4_wd_1e-4_ae_do_0.2_esm_do_0_seed_42,8.0,0.6770815450643777,0.5086602563474749,0.7290406222990493
