epoch,train_loss,train_accuracy,train_positive_precision,train_positive_recall,train_positive_f1,train_precision,train_recall,train_f1,train_macro_f1,train_balanced_accuracy,train_auroc,train_auprc,train_num_samples,val_loss,val_accuracy,val_positive_precision,val_positive_recall,val_positive_f1,val_precision,val_recall,val_f1,val_macro_f1,val_balanced_accuracy,val_auroc,val_auprc,val_num_samples
1,0.6782939671943479,0.5820128685297224,0.4029126213592233,0.0031831255992329816,0.006316350214984209,0.4029126213592233,0.0031831255992329816,0.006316350214984209,0.3708298244614318,0.4999021415980672,0.5340138450654491,0.4410615743618265,62478,0.6761590181081173,0.5826851051570152,0.0,0.0,0.0,0.0,0.0,0.0,0.36816237371438976,0.5,0.6235850735149485,0.53101302983249,6942
2,0.6749527596466489,0.5827811389609142,0.6111111111111112,0.0008437200383509108,0.0016851135536746964,0.6111111111111112,0.0008437200383509108,0.0016851135536746964,0.36898459734540434,0.5002295681750967,0.5767412429448765,0.48573229516482025,62478,0.6711463493938166,0.5832613079804091,0.75,0.0020711080428028996,0.004130808950086058,0.75,0.0020711080428028996,0.004130808950086058,0.37031387883518513,0.5007883352327736,0.6252222899696331,0.532966219977983,6942
3,0.6702696199438332,0.5863503953391593,0.6201873048907388,0.022857142857142857,0.04408936233170587,0.6201873048907388,0.022857142857142857,0.04408936233170587,0.3900798118848072,0.5064152483508031,0.596759762063798,0.50359429570759,62478,0.6653336289464071,0.5904638432728321,0.725,0.030031066620642043,0.0576731852833941,0.725,0.030031066620642043,0.0576731852833941,0.39802772174816614,0.5109364232979601,0.6278668995205389,0.5367221768203341,6942
4,0.6655750049607214,0.5964979672844841,0.6121919584954605,0.09050814956855226,0.15770130304042768,0.6121919584954605,0.09050814956855226,0.15770130304042768,0.44620274463157283,0.5247200528630059,0.606032449834703,0.5130671063887848,62478,0.6604297065624961,0.6081820800921924,0.6200814111261872,0.15774939592682086,0.2515134837644469,0.6200814111261872,0.15774939592682086,0.2515134837644469,0.4930738150529551,0.5442640675554994,0.6301976427598901,0.5401173598556169,6942
5,0.6626594634580263,0.60310829411953,0.5927431059506532,0.15662511984659636,0.24777794630668892,0.5927431059506532,0.15662511984659636,0.24777794630668892,0.48910948385547837,0.5397717803172217,0.610939711357853,0.5184854870857716,62478,0.6569603394101999,0.6127917026793431,0.6191562143671607,0.1874352778736624,0.287758346581876,0.6191562143671607,0.1874352778736624,0.287758346581876,0.5109414878309974,0.5524321012359659,0.6324609277830141,0.5435036339201231,6942
6,0.6605401157172749,0.6058452575306508,0.580760227399398,0.19980824544582934,0.2973235176625007,0.580760227399398,0.19980824544582934,0.2973235176625007,0.5117136996609689,0.5482462923243212,0.6151274247544578,0.5221728941810923,62478,0.6552519421692851,0.6119273984442524,0.6245398773006134,0.175698998964446,0.27424568965517243,0.6245398773006134,0.175698998964446,0.27424568965517243,0.5047005090037561,0.5500250248221489,0.6345817014574986,0.5467168178611217,6942
7,0.6594326046804577,0.6080540350203272,0.5780159276374005,0.22546500479386386,0.3243944159355515,0.5780159276374005,0.22546500479386386,0.3243944159355515,0.5241744371414878,0.5537813170550645,0.617255324035988,0.5243934254681648,62478,0.6531575388779252,0.6182656295015846,0.5961089494163424,0.2644114601311702,0.3663318986131038,0.5961089494163424,0.2644114601311702,0.3663318986131038,0.5465961698796296,0.5680524544166358,0.6363316042809726,0.5495700422508613,6942
8,0.6582617098575572,0.6108550209673805,0.5780751506557958,0.2501629913710451,0.3492063492063492,0.5780751506557958,0.2501629913710451,0.3492063492063492,0.5358255908959699,0.5596885335670159,0.6191406922332557,0.5276207488023672,62478,0.6523417104599079,0.6185537309132815,0.6202898550724638,0.22160856057991024,0.32655137334689727,0.6202898550724638,0.22160856057991024,0.32655137334689727,0.5302371014644455,0.5622257883245657,0.6384283985009854,0.5522936681050854,6942
9,0.6574273360703222,0.6124875956336631,0.5782404298186703,0.26416107382550336,0.36265038039329245,0.5782404298186703,0.26416107382550336,0.36265038039329245,0.5421319144317185,0.5630752351519077,0.6217279185502211,0.5295733292583802,62478,0.6513500962158474,0.618409680207433,0.610912343470483,0.23576113220573006,0.3402241594022416,0.610912343470483,0.23576113220573006,0.3402241594022416,0.5359039532445395,0.564110479576289,0.6400190640929857,0.5548847463175586,6942
10,0.6569473202095214,0.6131118153590064,0.5772258745231719,0.272751677852349,0.3704552557558079,0.5772258745231719,0.272751677852349,0.3704552557558079,0.5456019347170906,0.5648295377971466,0.6226322390959055,0.5305890388190799,62478,0.6516246176940569,0.618409680207433,0.6339092872570194,0.20262340352088368,0.30708867381637456,0.6339092872570194,0.20262340352088368,0.30708867381637456,0.5218973833250444,0.5594081170880068,0.6413603348248668,0.5565066559041687,6942
