epoch,train_loss,train_accuracy,train_positive_precision,train_positive_recall,train_positive_f1,train_precision,train_recall,train_f1,train_macro_f1,train_balanced_accuracy,train_auroc,train_auprc,train_num_samples,val_loss,val_accuracy,val_positive_precision,val_positive_recall,val_positive_f1,val_precision,val_recall,val_f1,val_macro_f1,val_balanced_accuracy,val_auroc,val_auprc,val_num_samples
1,0.6517409488647969,0.6157687506002113,0.654379943292046,0.16816874400767018,0.26757383451305833,0.654379943292046,0.16816874400767018,0.26757383451305833,0.5035742897885318,0.5522738069405161,0.6452307205829364,0.5642707512386096,62478,0.6351018505253045,0.6401613367905503,0.6572104018912529,0.28788401794960305,0.40038406144983196,0.6572104018912529,0.28788401794960305,0.40038406144983196,0.5716676429908143,0.5901719224482256,0.6770680892769598,0.6138816758153394,6942
2,0.6322090967031443,0.6414737987771696,0.6429182546472738,0.3170086289549377,0.42463783006267336,0.6429182546472738,0.3170086289549377,0.42463783006267336,0.5821226907218416,0.5954463247513474,0.6762450825792201,0.6035101337467723,62478,0.6252513492495483,0.6525496974935178,0.6583932070542129,0.3479461511908871,0.45528455284552843,0.6583932070542129,0.3479461511908871,0.45528455284552843,0.6001042053567743,0.6093253623692383,0.6864168337477113,0.6253788226303034,6942
3,0.6256505713396736,0.6453951791030442,0.6320043103448276,0.3598849472674976,0.45861740341617185,0.6320043103448276,0.3598849472674976,0.45861740341617185,0.5974854893986361,0.6048937139161431,0.6843591078237865,0.612888524989589,62478,0.6208597918093909,0.6538461538461539,0.6537982565379825,0.3624439074905074,0.46635576282478347,0.6537982565379825,0.3624439074905074,0.46635576282478347,0.6050998513516306,0.6124951305066876,0.6909212163983628,0.6307033767365694,6942
4,0.6220462670391563,0.6489324242133231,0.6327498877989357,0.3784851390220518,0.47365137262430407,0.6327498877989357,0.3784851390220518,0.47365137262430407,0.6051437305943671,0.6105677350193631,0.6889482631695486,0.6178534094803634,62478,0.6179545714923196,0.6570152693748199,0.64543404735062,0.39523645150155334,0.49025904517234,0.64543404735062,0.39523645150155334,0.49025904517234,0.6159099415593601,0.6198679167272909,0.6950216604449513,0.6345646641129896,6942
5,0.619688462341384,0.6511091904350331,0.6322592615498794,0.3920613614573346,0.4839977274879273,0.6322592615498794,0.3920613614573346,0.4839977274879273,0.6102283830398336,0.6143615875220634,0.6924432218231148,0.6214192472405954,62478,0.6163803225152948,0.6594641313742438,0.66006006006006,0.3793579565067311,0.48180622533976325,0.66006006006006,0.3793579565067311,0.48180622533976325,0.6141062879541554,0.6197160610716597,0.6967970361052929,0.6367769167700958,6942
6,0.6179146825181578,0.652773776369282,0.633315075162802,0.39907957813998085,0.4896249941184774,0.633315075162802,0.39907957813998085,0.4896249941184774,0.613253976743896,0.6167856204575135,0.6946822563616113,0.6241932428510344,62478,0.6148808808362439,0.6568712186689715,0.6437744276940257,0.3979979288919572,0.49189419795221845,0.6437744276940257,0.3979979288919572,0.49189419795221845,0.6164342673101675,0.620136170873667,0.6982253496968222,0.6386399374763178,6942
7,0.6165430053881102,0.6536380806043728,0.6330154159918421,0.4047171620325983,0.4937538015252889,0.6330154159918421,0.4047171620325983,0.4937538015252889,0.615262741901192,0.6183270451538703,0.696930951056603,0.6259349932041096,62478,0.6141245549743782,0.6591760299625468,0.6559013505578392,0.3855712806351398,0.4856521739130435,0.6559013505578392,0.3855712806351398,0.4856521739130435,0.6154025626135662,0.6203505352495847,0.6995481024869936,0.6398820505504943,6942
8,0.6153707972996717,0.6554627228784532,0.6345300762997576,0.4114285714285714,0.49918570564422315,0.6345300762997576,0.4114285714285714,0.49918570564422315,0.6182951242740353,0.620844906816942,0.6983908514909887,0.6280005845723925,62478,0.6130791190755158,0.6590319792566983,0.6553341148886284,0.3859164653089403,0.48577014990223766,0.6553341148886284,0.3859164653089403,0.48577014990223766,0.6153664885918904,0.6202759087978571,0.7011914204754673,0.6412643899221532,6942
9,0.6144149708776102,0.656230993309645,0.6340155092997493,0.41702780441035475,0.5031231203442372,0.6340155092997493,0.41702780441035475,0.5031231203442372,0.620165499973905,0.6222984803992823,0.6999982364248898,0.6290970441853335,62478,0.6127015773482778,0.6613367905502737,0.6644578313253012,0.38073869520193304,0.48409041035769146,0.6644578313253012,0.38073869520193304,0.48409041035769146,0.6160132549268891,0.6215189149680864,0.7018487647380842,0.642060535497745,6942
10,0.6135728332395647,0.6575434552962642,0.6348803689824157,0.422320230105465,0.5072316904652234,0.6348803689824157,0.422320230105465,0.5072316904652234,0.6224099975089068,0.6241755258705223,0.7011934836531784,0.6305448791032846,62478,0.6118799861347733,0.6603284356093345,0.6582501467997651,0.38695201933034173,0.48739130434782607,0.6582501467997651,0.38695201933034173,0.48739130434782607,0.6167029766030384,0.6215353421744416,0.7026507964208317,0.6426994491063711,6942
