epoch,train_loss,train_accuracy,train_positive_precision,train_positive_recall,train_positive_f1,train_precision,train_recall,train_f1,train_macro_f1,train_balanced_accuracy,train_auroc,train_auprc,train_num_samples,val_loss,val_accuracy,val_positive_precision,val_positive_recall,val_positive_f1,val_precision,val_recall,val_f1,val_macro_f1,val_balanced_accuracy,val_auroc,val_auprc,val_num_samples
1,0.5696847722687509,0.6860494894202759,0.6428192430137956,0.5575455417066155,0.5971534780554928,0.6428192430137956,0.5575455417066155,0.5971534780554928,0.6699790861070095,0.667820376819849,0.7552535361774809,0.6747957685255819,62478,0.5470607562440852,0.7071449150100836,0.6352536005009393,0.7003797031411805,0.6662288622557873,0.6352536005009393,0.7003797031411805,0.6662288622557873,0.7026768589477319,0.7061849071948176,0.7841452711193072,0.7162888979606273,6942
2,0.5224758162982425,0.7285124363776049,0.6875025719106209,0.6407286673058485,0.6632920438303954,0.6875025719106209,0.6407286673058485,0.6632920438303954,0.7179292077559056,0.7160597433719035,0.8045158368702505,0.737123419230191,62478,0.5195939328185559,0.7330740420628061,0.6823899371069182,0.6741456679323438,0.6782427504775135,0.6823899371069182,0.6741456679323438,0.6782427504775135,0.7250906060079876,0.724711894534775,0.8084338130788723,0.7480535889799214,6942
3,0.49268287415311973,0.7494958225295304,0.7135890500778624,0.6678044103547459,0.6899379915605127,0.7135890500778624,0.6678044103547459,0.6899379915605127,0.739899110309184,0.7379073695868996,0.8300434944081947,0.7717376316442699,62478,0.5058491685846566,0.7458945548833189,0.7069784435513335,0.6679323438039351,0.6869009584664537,0.7069784435513335,0.6679323438039351,0.6869009584664537,0.736541388324136,0.7348314376621653,0.8198112108643142,0.7626976330560018,6942
4,0.47004953359911883,0.7659176029962547,0.7354610512461957,0.685790987535954,0.7097580821210978,0.7354610512461957,0.685790987535954,0.7097580821210978,0.7568128723800334,0.7545511265454954,0.847652424735363,0.7978558969517217,62478,0.5009681811527779,0.7445980985306828,0.7004279600570613,0.6779426993441491,0.6890019294860551,0.7004279600570613,0.6779426993441491,0.6890019294860551,0.7361666130382738,0.7351394584483415,0.8236474968990982,0.7693541860461265,6942
5,0.4537986510293524,0.7783539806011716,0.7510780730214793,0.7013614573346117,0.7253688719657306,0.7510780730214793,0.7013614573346117,0.7253688719657306,0.7697847418917367,0.767432095312912,0.8596271834875852,0.8134113388548051,62478,0.5006979964662787,0.7466148084125612,0.7087307410124725,0.6668967897825336,0.6871776631691268,0.7087307410124725,0.6668967897825336,0.6871776631691268,0.737124723123118,0.7353025358059764,0.8248998900443876,0.7721647727517412,6942
6,0.4371453593125962,0.7883895131086143,0.7619629901361376,0.7169319271332694,0.7387618802979707,0.7619629901361376,0.7169319271332694,0.7387618802979707,0.7804667943192949,0.7782527943223416,0.8712385335683327,0.8297257611324876,62478,0.5076602877508629,0.7408527801786229,0.6891798759476223,0.6903693476009665,0.6897740989825832,0.6891798759476223,0.6903693476009665,0.6897740989825832,0.7336316382358803,0.7336890001292842,0.8256624537638143,0.7741033967857485,6942
7,0.42218594032257556,0.7982809949102084,0.7727788126670446,0.7318504314477469,0.7517579625361933,0.7727788126670446,0.7318504314477469,0.7517579625361933,0.7909382234533852,0.7888573916434405,0.8810471595945135,0.8428855312574417,62478,0.5074016363570615,0.7433016421780466,0.7074804614812058,0.6561960648947187,0.6808739255014327,0.7074804614812058,0.6561960648947187,0.6808739255014327,0.7330875651603549,0.7309410485165806,0.8239435279580385,0.7719106705879426,6942
8,0.407465187030808,0.8080444316399372,0.7844848484848485,0.7446212847555129,0.764033448106247,0.7844848484848485,0.7446212847555129,0.764033448106247,0.8011261384681455,0.7990474497837394,0.8903825675341152,0.8550496696697599,62478,0.5142231312360657,0.7438778450014405,0.6993231207695048,0.6775975146703487,0.688288920056101,0.6993231207695048,0.6775975146703487,0.688288920056101,0.7354647534265835,0.7344724285341855,0.8253503368430666,0.7735386395177746,6942
9,0.3943668379628394,0.8151509331284612,0.7917570498915402,0.7558964525407479,0.773411289215013,0.7917570498915402,0.7558964525407479,0.773411289215013,0.8086581497773336,0.8067453034343439,0.8980979752888257,0.8652660160052246,62478,0.5212724765468076,0.740564678766926,0.7204344328238134,0.6182257507766655,0.665428199888538,0.7204344328238134,0.6182257507766655,0.665428199888538,0.7267853856753594,0.7232043463401251,0.824280648366901,0.7735780006658127,6942
10,0.3809580150460414,0.8248183360542911,0.80376646321876,0.7676701821668265,0.7853037525255497,0.80376646321876,0.7676701821668265,0.7853037525255497,0.8186761811142828,0.8167115023681975,0.9057215417618194,0.8749720158754217,62478,0.5245836521819496,0.7460386055891673,0.7003533568904594,0.6841560234725578,0.6921599441243234,0.7003533568904594,0.6841560234725578,0.6921599441243234,0.7380132808766768,0.7372572453580342,0.8251199292734099,0.7726812240809637,6942
