dataset,version,representation,encoder_mode,freeze_autoencoder,freeze_esm2,autoencoder_version,head_type,seed,phase,learning_rate,weight_decay,dropout,autoencoder_embedding_dropout,esm_embedding_dropout,status,run_dir,checkpoint_dir,error,selection_epoch,best_val_f1,val_loss_at_selection,val_accuracy_at_selection,encoder_lr_partition,phase_partition
solubility,v5,esm2,fine_tuned,True,False,,mlp,42,end_to_end_tuning,0.0001,0.0,0.1,0.0,0.1,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/mlp/esm2/lr_1e-4_wd_0_do_0.1_ae_do_0_esm_do_0.1_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/mlp/esm2/lr_1e-4_wd_0_do_0.1_ae_do_0_esm_do_0.1_seed_42,,3.0,0.7331417948284603,0.4595817803941587,0.7725439354652838,encoder_lr_1e-5,unfrozen
solubility,v5,esm2,fine_tuned,True,False,,mlp,42,end_to_end_tuning,0.0001,0.0001,0.1,0.0,0.0,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/mlp/esm2/lr_1e-4_wd_1e-4_do_0.1_ae_do_0_esm_do_0_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/mlp/esm2/lr_1e-4_wd_1e-4_do_0.1_ae_do_0_esm_do_0_seed_42,,3.0,0.730191256830601,0.4577402062853624,0.7723998847594353,encoder_lr_1e-5,unfrozen
solubility,v5,esm2,fine_tuned,True,False,,mlp,42,end_to_end_tuning,0.0001,0.0001,0.1,0.0,0.1,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/mlp/esm2/lr_1e-4_wd_1e-4_do_0.1_ae_do_0_esm_do_0.1_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/mlp/esm2/lr_1e-4_wd_1e-4_do_0.1_ae_do_0_esm_do_0.1_seed_42,,3.0,0.7288510638297873,0.4608013853237561,0.7705272255834054,encoder_lr_1e-5,unfrozen
solubility,v5,trained_autoencoder+esm2,fine_tuned,False,False,v5,mlp,42,end_to_end_tuning,0.0001,0.0,0.1,0.1,0.05,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/mlp/trained_autoencoder+esm2/lr_1e-4_wd_0_do_0.1_ae_do_0.1_esm_do_0.05_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/mlp/trained_autoencoder+esm2/lr_1e-4_wd_0_do_0.1_ae_do_0.1_esm_do_0.05_seed_42,,4.0,0.7262028383523711,0.5174668776185325,0.7721117833477384,encoder_lr_1e-5,unfrozen
solubility,v5,esm2,fine_tuned,True,False,,linear,42,end_to_end_tuning,0.0001,0.0,,0.0,0.1,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_ae_do_0_esm_do_0.1_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_ae_do_0_esm_do_0.1_seed_42,,3.0,0.7259762308998302,0.4626361982463863,0.7675021607605877,encoder_lr_1e-5,unfrozen
solubility,v5,esm2,fine_tuned,True,False,,linear,42,end_to_end_tuning,0.0001,0.0,,0.0,0.0,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_ae_do_0_esm_do_0_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_ae_do_0_esm_do_0_seed_42,,3.0,0.7253044654939107,0.4629774440677734,0.7660616537021031,encoder_lr_1e-5,unfrozen
solubility,v5,esm2,fine_tuned,True,False,,mlp,42,end_to_end_tuning,0.0001,0.0,0.1,0.0,0.0,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/mlp/esm2/lr_1e-4_wd_0_do_0.1_ae_do_0_esm_do_0_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/mlp/esm2/lr_1e-4_wd_0_do_0.1_ae_do_0_esm_do_0_seed_42,,3.0,0.7252329996548154,0.4574235190114999,0.7706712762892538,encoder_lr_1e-5,unfrozen
solubility,v5,trained_autoencoder+esm2,fine_tuned,False,False,v5,mlp,42,end_to_end_tuning,0.0001,0.0001,0.1,0.1,0.05,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/mlp/trained_autoencoder+esm2/lr_1e-4_wd_1e-4_do_0.1_ae_do_0.1_esm_do_0.05_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/mlp/trained_autoencoder+esm2/lr_1e-4_wd_1e-4_do_0.1_ae_do_0.1_esm_do_0.05_seed_42,,3.0,0.7251299826689774,0.4617595760528995,0.7715355805243446,encoder_lr_1e-5,unfrozen
solubility,v5,trained_autoencoder+esm2,fine_tuned,False,False,v5,mlp,42,end_to_end_tuning,0.0001,0.0,0.1,0.2,0.1,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/mlp/trained_autoencoder+esm2/lr_1e-4_wd_0_do_0.1_ae_do_0.2_esm_do_0.1_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/mlp/trained_autoencoder+esm2/lr_1e-4_wd_0_do_0.1_ae_do_0.2_esm_do_0.1_seed_42,,4.0,0.7233893557422969,0.5072446376196901,0.7723998847594353,encoder_lr_1e-5,unfrozen
solubility,v5,esm2,fine_tuned,True,False,,linear,42,end_to_end_tuning,0.0001,0.0001,,0.0,0.0,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_1e-4_ae_do_0_esm_do_0_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_1e-4_ae_do_0_esm_do_0_seed_42,,3.0,0.7232434289640955,0.4593232803903166,0.7679343128781331,encoder_lr_1e-5,unfrozen
