epoch,train_loss,train_accuracy,train_positive_precision,train_positive_recall,train_positive_f1,train_precision,train_recall,train_f1,train_macro_f1,train_balanced_accuracy,train_auroc,train_auprc,train_num_samples,val_loss,val_accuracy,val_positive_precision,val_positive_recall,val_positive_f1,val_precision,val_recall,val_f1,val_macro_f1,val_balanced_accuracy,val_auroc,val_auprc,val_num_samples
1,0.5995821621282225,0.6511892186049489,0.609112220976455,0.4583700862895494,0.5230977963542465,0.609112220976455,0.4583700862895494,0.5230977963542465,0.6240692428698396,0.6238365828530404,0.7130066329756045,0.6183487954028283,62478,0.561235964461384,0.6923076923076923,0.6382128586996004,0.6064894718674491,0.6219469026548673,0.6382128586996004,0.6064894718674491,0.6219469026548673,0.6812673546550994,0.6801297791970126,0.7650141039300278,0.6829291743504962,6942
2,0.5444698445874585,0.7019430839655558,0.655809675126479,0.6015340364333653,0.6275004000640102,0.655809675126479,0.6015340364333653,0.6275004000640102,0.6895439143482103,0.6876994138983572,0.7769478962321467,0.6952890343198324,62478,0.5305728587369966,0.7180927686545664,0.6828793774319066,0.6057991025198481,0.6420340223157125,0.6828793774319066,0.6057991025198481,0.6420340223157125,0.7047641894874274,0.7021578948940403,0.7922203310786105,0.7245666317520225,6942
3,0.5259141325082474,0.7170043855437114,0.6773130544993663,0.6148418024928092,0.644567293195296,0.6773130544993663,0.6148418024928092,0.644567293195296,0.7047409999103283,0.7025119651697076,0.7944503383332988,0.7227010436981665,62478,0.5328099503104332,0.7116104868913857,0.633542226201134,0.732827062478426,0.6795774647887324,0.633542226201134,0.732827062478426,0.6795774647887324,0.7086991567002855,0.7146211950216604,0.7987104429670863,0.7346276674240915,6942
4,0.5163103535634469,0.7265917602996255,0.6911370882040383,0.6235474592521573,0.6556048387096775,0.6911370882040383,0.6235474592521573,0.6556048387096775,0.7144604160637935,0.7119742625491894,0.8042245809658887,0.7388683124331261,62478,0.5234565529913285,0.7251512532411409,0.7076858462830743,0.5816361753538143,0.6384994316028799,0.7076858462830743,0.5816361753538143,0.6384994316028799,0.7083968224712052,0.7047859492343855,0.8011480697179171,0.7414622151374788,6942
5,0.5090284712719717,0.7330100195268735,0.6976685464186516,0.6357813998082454,0.6652888416236933,0.6976685464186516,0.6357813998082454,0.6652888416236933,0.721613922535778,0.7192175136282664,0.8113148092453583,0.7501161118489781,62478,0.5210224680325649,0.7270239124171708,0.7161345987920621,0.5730065585088022,0.6366251198465963,0.7161345987920621,0.5730065585088022,0.6366251198465963,0.709015063095521,0.7051682977958103,0.803820157504908,0.7454141610443518,6942
6,0.5020592317656276,0.736323185761388,0.7032473855794064,0.6370086289549377,0.6684911659355254,0.7032473855794064,0.6370086289549377,0.6684911659355254,0.7248012418660115,0.7222347762525974,0.8178000590966223,0.7589497249146907,62478,0.5130558723213006,0.7336502448861999,0.6971407072987208,0.6396272005522955,0.6671467146714671,0.6971407072987208,0.6396272005522955,0.6671467146714671,0.7225756385219504,0.7203080378534037,0.8101304234848462,0.7524328693222526,6942
7,0.49594834745607613,0.7435097154198278,0.7126354096140826,0.6458676893576223,0.6776107992838031,0.7126354096140826,0.6458676893576223,0.6776107992838031,0.7323255793120633,0.7296585651688807,0.8236523851234011,0.7666146441000823,62478,0.5126661884272967,0.7326418899452607,0.7053254437869823,0.6171901967552641,0.658321060382916,0.7053254437869823,0.6171901967552641,0.658321060382916,0.7193640323211314,0.716258880825098,0.8104508606789429,0.7537976079856483,6942
8,0.49014573353724167,0.7484074394186754,0.7174899193548387,0.6551102588686482,0.6848826253433034,0.7174899193548387,0.6551102588686482,0.6848826253433034,0.737749879000425,0.7351726334861879,0.8290664232286862,0.7738833772450697,62478,0.5116907052934015,0.7363872082973206,0.6915619389587073,0.6648256817397308,0.6779303062302007,0.6915619389587073,0.6648256817397308,0.6779303062302007,0.7274069965679167,0.726232371154167,0.8123312424557522,0.7570260887577905,6942
9,0.4846106091509281,0.7518486507250552,0.7235923685435086,0.6559923298178332,0.6881361387134409,0.7235923685435086,0.6559923298178332,0.6881361387134409,0.7410405049644927,0.7382508142510038,0.8339542164207436,0.7815489992506188,62478,0.5127204960376857,0.7335061941803515,0.7134121483897269,0.6040731791508457,0.6542056074766355,0.7134121483897269,0.6040731791508457,0.6542056074766355,0.7187128342046876,0.7151391853727034,0.8111578279051728,0.7570186066051592,6942
10,0.48060702012952067,0.7572105381094145,0.7292717793474605,0.6651965484180249,0.6957620489781183,0.7292717793474605,0.6651965484180249,0.6957620489781183,0.7468849793740746,0.7441577610644914,0.8376844890908947,0.7855166513765984,62478,0.5094241037453948,0.7397003745318352,0.7065959059893859,0.6434242319641008,0.6735320686540198,0.7065959059893859,0.6434242319641008,0.6735320686540198,0.7285494814464254,0.7260384447830392,0.8130838645152288,0.7598137619467632,6942
