epoch,train_loss,train_accuracy,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_f1,val_precision,val_recall
1,1.6559362734994318,0.4326603325415677,0.21992579070648904,0.25789189974538285,0.23409832828554372,1.0892259674675933,0.6182853077196727,0.3309078967505844,0.299380762423967,0.37275190485497944
2,1.1262599937794668,0.6153206650831354,0.3729350722791996,0.3846510233682635,0.38765133157812026,0.9476128133868439,0.6570615439345429,0.3903191628514362,0.4718061875017181,0.4166204868571362
3,0.9840606948022942,0.6709026128266034,0.44769768223029327,0.4677587993573075,0.4555970197859113,0.8575579025570981,0.7043756670224119,0.4783840523836774,0.5009504451594122,0.48579268100945017
4,0.9057944739079996,0.7030878859857482,0.48183012523198654,0.5039166427331981,0.49022820073358647,0.8155896110620233,0.7289220917822838,0.5155250402369704,0.5123259828955133,0.525673264849501
5,0.8401179899658799,0.7251781472684086,0.5147888160456489,0.5584967645145233,0.5230748639329181,0.7771388907514681,0.7395944503735326,0.5299303678869258,0.5197426651258398,0.5440433678987779
6,0.7926460161614113,0.7420427553444181,0.5318475402977041,0.5774212322395998,0.5413156966387591,0.7853743664698579,0.7488438278192814,0.5345918230681288,0.52124065770543,0.5501203572107183
7,0.740180838184479,0.7595011876484561,0.5587089560848735,0.6844510052971797,0.5644956635328263,0.7586641942603323,0.752045535396656,0.5380130641176354,0.5252310917855105,0.5528329583839382
8,0.7126727994736585,0.7699524940617577,0.5713082508914994,0.6211110480116063,0.575528270043473,0.7507458308732153,0.7620064034151548,0.5793254615380945,0.6161345141827107,0.5771474258582817
9,0.6863642529693255,0.7786223277909738,0.5856128972075115,0.678497343463738,0.5878161342329554,0.7451756284115784,0.7620064034151548,0.596896872011244,0.6916918343277383,0.58609726751461
10,0.643437414935101,0.7944180522565321,0.6075739583019737,0.7201247912421048,0.606177583801376,0.7477276737355086,0.7644966204197794,0.5988197629184503,0.6605095764428879,0.5966596513720652
