version,file name,test teacher force loss,test autoregressive loss,test teacher forced accuracy,test autoregressive accuracy
v5,checkpoints/autoencoder/solubility/v5/model_ae_solubility.pt,1.131063,3.344341,0.581860,0.253772
v9,checkpoints/autoencoder/solubility/v9/model_ae_length_1_of_2_solubility_latent128_tfd0p3.pt,1.584530,3.268150,0.444381,0.198366
v9,checkpoints/autoencoder/solubility/v9/model_ae_length_1_of_2_solubility_latent128_tfd0p45.pt,1.617644,3.106272,0.431070,0.193755
v9,checkpoints/autoencoder/solubility/v9/model_ae_length_1_of_2_solubility_latent256_tfd0p3.pt,1.291468,3.174766,0.528925,0.249548
v9,checkpoints/autoencoder/solubility/v9/model_ae_length_1_of_2_solubility_latent256_tfd0p45.pt,1.190679,3.176952,0.562358,0.268905
v9,checkpoints/autoencoder/solubility/v9/model_ae_length_1_of_2_solubility_latent512_tfd0p3.pt,0.854447,3.316194,0.673921,0.344174
v9,checkpoints/autoencoder/solubility/v9/model_ae_length_1_of_2_solubility_latent512_tfd0p45.pt,0.958397,3.048787,0.638478,0.322530
v9,checkpoints/autoencoder/solubility/v9/model_ae_length_2_of_3_solubility_latent128_tfd0p3.pt,1.815989,3.293185,0.370640,0.151363
v9,checkpoints/autoencoder/solubility/v9/model_ae_length_2_of_3_solubility_latent128_tfd0p45.pt,1.826583,3.263205,0.366779,0.145888
v9,checkpoints/autoencoder/solubility/v9/model_ae_length_2_of_3_solubility_latent256_tfd0p3.pt,1.740120,3.341951,0.380612,0.139821
v9,checkpoints/autoencoder/solubility/v9/model_ae_length_2_of_3_solubility_latent256_tfd0p45.pt,1.762271,3.252304,0.372100,0.137583
v9,checkpoints/autoencoder/solubility/v9/model_ae_length_2_of_3_solubility_latent512_tfd0p3.pt,0.975605,3.686724,0.614840,0.239954
v9,checkpoints/autoencoder/solubility/v9/model_ae_length_2_of_3_solubility_latent512_tfd0p45.pt,0.981489,3.615900,0.615650,0.248794
v9,checkpoints/autoencoder/solubility/v9/model_ae_length_3_of_4_solubility_latent128_tfd0p3.pt,1.935667,3.266732,0.332542,0.132724
v9,checkpoints/autoencoder/solubility/v9/model_ae_length_3_of_4_solubility_latent128_tfd0p45.pt,1.970395,3.215050,0.320394,0.126343
